Provincia,Fecha,Banda ancha fija,Dial up,Total,latitud,longitud
Buenos Aires,2022-10-01,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-02,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-03,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-04,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-05,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-06,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-07,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-08,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-09,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-10,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-11,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-12,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-13,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-14,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-15,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-16,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-17,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-18,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-19,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-20,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-21,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-22,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-23,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-24,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-25,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-26,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-27,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-28,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-29,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-30,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-10-31,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-01,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-02,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-03,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-04,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-05,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-06,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-07,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-08,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-09,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-10,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-11,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-12,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-13,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-14,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-15,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-16,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-17,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-18,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-19,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-20,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-21,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-22,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-23,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-24,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-25,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-26,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-27,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-28,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-29,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-11-30,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-12-01,5,6,11,-36.6769415180527,-60.5588319815719
Buenos Aires,2022-12-02,5,6,11,-36.6769415180527,-60.5588319815719
